N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,4.9999999999999964,3.552713678800501e-16,4.9999999999999964,3.552713678800501e-16,4.9999999999999964,3.552713678800501e-16,6,10,++
1,3.883999999999999,0.35146990387988175,3.9466666666666668,0.30092007059830506,-7.21108398484874,1.4388866778516026e-05,6,10,++
2,-1.4800000000000002,0.49775674558741817,1.98,0.3831240008143577,-7.211067255390312,1.0920141076967791e-05,6,10,++
3,-2.1133333333333333,0.4355043053748148,0.8333333333333335,0.39305074594623135,-7.21111281283971,8.798769176548656e-06,6,10,++
4,-0.524,0.4021962815453282,1.38,0.30587143268591355,-7.211111301659842,9.568677031690536e-06,6,10,++
5,-2.1533333333333338,0.39134185112819764,0.22,0.4240251564864204,-7.21110037381445,7.945998580004248e-06,6,10,++
6,-1.5653333333333332,0.5178501885466277,0.5933333333333333,0.4122652867592258,-7.2111000128105935,9.290315042237012e-06,6,10,++
7,-1.4333333333333331,0.45665450105449884,0.3000000000000001,0.5687413002997643,-7.211110269109678,7.768730482054229e-06,6,10,++
8,-0.564,0.5228500358611444,-0.7799999999999998,0.4421884967597717,-7.211108600377889,5.473384963870297e-06,6,10,++
9,-1.4359999999999997,0.42527238852815785,-0.06266666666666673,0.4254579545749628,-7.210910820206634,0.00018834546658997437,6,10,++
10,0.07999999999999999,0.4482182008303049,-0.184,0.4326502102674219,-7.2110919008685235,5.611811891036029e-06,6,10,++
11,-1.2400000000000002,0.4084746694172792,-0.11999999999999993,0.5093368237227699,-7.211079117672094,1.0843610321754867e-05,6,10,++
12,-1.04,0.5254652964542738,-1.3986666666666667,0.4320266658436722,-7.211089646406882,6.706267646659208e-06,6,10,++
13,-0.34000000000000014,0.43944207050910966,-0.6333333333333333,0.37273761995984966,-7.2111116026606314,8.810793039642014e-06,6,10,++
14,-0.8333333333333333,0.5171717960858525,-1.0813333333333333,0.4038749201313584,-7.211105963769066,4.903011053299737e-06,6,10,++
15,-0.6106666666666668,0.5263939209375427,-0.9053333333333333,0.3269777022638972,-7.2111006460856695,7.3541566678459685e-06,6,10,++
16,-0.6466666666666667,0.4300201545664265,-0.28,0.464061298632938,-7.2110865052636814,1.0083321734314878e-05,6,10,++
17,-1.0200000000000002,0.4534627266319079,-1.3266666666666667,0.44924430374178853,-7.211100057996596,9.228391979586929e-06,6,10,++
18,0.06666666666666664,0.5514425526642726,-1.1933333333333334,0.3262827676179735,-7.2110896488644265,9.734723124410405e-06,6,10,++
19,-1.46,0.4833475859967534,-1.66,0.44726129573960083,-7.211103955732741,8.773523178338221e-06,6,10,++
20,-0.6333333333333333,0.4249967320135794,-0.1,0.4387862045841156,-7.2111148388769495,8.051776773028825e-06,6,10,++
0,-4.999637218752837,3.552713678800501e-16,-4.999637218752837,3.552713678800501e-16,-4.999637218752837,3.552713678800501e-16,6,10,HF
1,-3.273333333333334,0.5114580465036535,-3.3733333333333335,0.3389237869098794,-7.2110904841502865,6.818683029607518e-06,6,10,HF
2,-2.1466666666666665,0.4929115313905507,-3.3466666666666662,0.36623247019102795,-7.211105897781981,4.539045274356103e-06,6,10,HF
3,-1.4066666666666665,0.3961009972216682,-2.28,0.35361246835734983,-7.211104302751193,6.0460683037880095e-06,6,10,HF
4,-1.4,0.5814923329961739,-3.317333333333333,0.3981696790732982,-7.209944802475005,0.0011339625209264785,6,10,HF
5,-1.0999999999999999,0.4546060565661952,-2.9,0.5139822737972369,-7.211081762864591,7.586108623259165e-06,6,10,HF
6,-1.373333333333333,0.5116665580890221,-2.3733333333333335,0.4738757455517451,-7.211107495792326,6.881531116615266e-06,6,10,HF
7,-0.9106666666666667,0.467617013282356,-1.9933333333333332,0.445269456496725,-7.211099477652956,7.994192461362577e-06,6,10,HF
8,-1.5733333333333335,0.5131237667463864,-1.7466666666666666,0.4639080368636296,-7.211088604405444,9.178175454606938e-06,6,10,HF
