N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,5.9999999999999964,5.329070518200751e-16,5.9999999999999964,5.329070518200751e-16,5.9999999999999964,5.329070518200751e-16,7,10,++
1,4.050666666666666,0.4626229374147181,3.586666666666667,0.4730158559710234,-8.485289636731187,1.0201264792452238e-05,7,10,++
2,-1.4200000000000004,0.4234377823902298,2.626666666666667,0.483715251407731,-8.485323809076622,1.0936931164750665e-05,7,10,++
3,-2.248,0.5525571423441702,2.026666666666667,0.5069016998722072,-8.485284196686305,1.475110174524613e-05,7,10,++
4,-2.0733333333333333,0.5484588508822801,0.1226666666666665,0.4221541372005674,-8.485297186917752,1.0370418448443695e-05,7,10,++
5,-1.02,0.3418017619095085,-0.2159999999999999,0.5084953665253772,-8.485297214317098,9.753851775251126e-06,7,10,++
6,-1.3666666666666665,0.4645705304663414,-0.1306666666666666,0.5178516990627937,-8.485281753955675,1.2738705072455582e-05,7,10,++
7,-1.54,0.5555601777585495,-0.0386666666666666,0.4952886655499216,-8.485288700002764,1.1736455149678296e-05,7,10,++
8,-1.350666666666667,0.425565746324166,-0.0626666666666667,0.5275294873274858,-8.48528619490724,1.191562053766608e-05,7,10,++
9,-0.5453333333333332,0.4635893968684884,0.1546666666666666,0.6102353061638509,-8.48528501178098,8.018498195297668e-06,7,10,++
10,-1.2666666666666668,0.4493946545694058,-0.22,0.5888384045446311,-8.485281104588173,8.660440328706799e-06,7,10,++
11,-0.1506666666666668,0.5118788745613772,-0.8733333333333333,0.5841065351838177,-8.485281733232181,1.124743635849634e-05,7,10,++
12,-0.2986666666666666,0.6245623676712448,-0.4613333333333334,0.5100193634668306,-8.485306761673954,1.5088410938471286e-05,7,10,++
13,-0.8599999999999998,0.4428874951196221,-0.74,0.4344171062725571,-8.485295674748803,1.0555144684673831e-05,7,10,++
