N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,2.999999999999998,0.0,2.999999999999998,0.0,2.999999999999998,0.0,4,10,++
1,1.8333333333333335,0.11785113019775789,2.8333333333333335,0.8249579113843053,-4.472136065382434,5.404486502831197e-07,4,10,++
2,-1.6666666666666667,0.0,0.0,0.7071067811865475,-4.4721527252583595,1.2000754504742276e-05,4,10,++
3,-1.5,1.0606601717798212,-2.0,0.0,-4.4721354356616105,6.132391572277976e-08,4,10,++
4,-2.5,0.35355339059327373,1.0,0.7071067811865475,-4.472117226942588,1.2536877456724211e-05,4,10,++
5,-1.5,0.35355339059327373,0.0,1.414213562373095,-4.472135490623993,7.527358524473644e-08,4,10,++
6,-1.3333333333333333,1.1785113019775793,1.0,1.414213562373095,-4.472135155106492,1.7620963083738563e-07,4,10,++
7,0.06666666666666665,0.5185449728701349,-1.6666666666666667,0.4714045207910317,-4.472135343743409,6.627880439735776e-08,4,10,++
8,-0.5,1.0606601717798212,-1.0,0.0,-4.472135336864887,2.0511139603958263e-08,4,10,++
9,1.5,1.0606601717798212,0.5,1.7677669529663687,-4.472134997238461,3.8958477079147284e-07,4,10,++
10,-2.5,2.4748737341529163,-1.5,1.0606601717798212,-4.472135295941085,6.34198374841911e-08,4,10,++
