N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,5.999999999999997,5.02429586778808e-16,5.999999999999997,5.02429586778808e-16,5.999999999999997,5.02429586778808e-16,7,10,++
1,4.637333333333334,0.27521085249919436,4.263333333333333,0.30488941528947106,-8.485293785207766,1.0287220061081521e-05,7,10,++
2,-1.2653333333333332,0.3692791295965094,3.1833333333333336,0.3280667276298799,-8.485329729673309,9.43836183015262e-06,7,10,++
3,-1.8073333333333332,0.3868336306188719,1.3566666666666665,0.4054903752796661,-8.485286817004079,8.895901922607693e-06,7,10,++
4,-1.7380000000000002,0.3274181967385985,0.9033333333333331,0.29818152562193084,-8.485302229745026,7.516067634898775e-06,7,10,++
5,-1.6866666666666665,0.3252226587705379,0.013333333333333365,0.32822214699465024,-8.485296432616003,8.0466791079473e-06,7,10,++
6,-1.8013333333333335,0.27368101464620775,-0.8000000000000002,0.3661208058065595,-8.485286290628231,7.04385618864691e-06,7,10,++
7,-0.45199999999999996,0.3316492926772697,-0.7713333333333331,0.3341629808608036,-8.485289648170198,7.4695136388792845e-06,7,10,++
8,-1.352,0.3557641665798036,-1.31,0.344668923267919,-8.485294372091445,6.720565611751292e-06,7,10,++
9,-1.36,0.3919569137318823,-1.2553333333333334,0.35811557414394085,-8.485285469684984,7.2475155425393104e-06,7,10,++
10,-1.0860000000000003,0.324214044524087,-0.8666666666666667,0.295710068216225,-8.485292546167507,8.786425223917886e-06,7,10,++
11,-0.9219999999999997,0.36813839185224284,-0.39333333333333337,0.35114922437302604,-8.485281712378447,6.941405597066043e-06,7,10,++
12,-1.072,0.34673763376170547,-1.4566666666666666,0.3473969871295183,-8.485281295078495,6.381804030900892e-06,7,10,++
13,-0.42333333333333323,0.336492033915944,-1.14,0.3621650943362095,-8.485300415875427,7.124503451091489e-06,7,10,++
14,-1.4066666666666665,0.3425771608136058,-1.3993333333333333,0.2918408851107436,-8.48528649846573,7.14918295412449e-06,7,10,++
15,-1.5513333333333332,0.3134527573831679,-1.3780000000000001,0.3082403247107325,-8.485302799164335,6.443443155691531e-06,7,10,++
16,-1.2180000000000002,0.351081136554564,-0.8739999999999999,0.34852487875489047,-8.485272103973152,7.7183372670988e-06,7,10,++
17,-0.8033333333333331,0.3802540086719811,-1.21,0.38989485762189785,-8.485280702160233,6.878090847911111e-06,7,10,++
18,-1.3453333333333333,0.3764368148249524,-1.602666666666667,0.32413555463382565,-8.485280836860833,7.701277585338544e-06,7,10,++
19,-0.852,0.31471773596880964,-0.96,0.3550862180122205,-8.485282659857823,8.056227715811797e-06,7,10,++
20,-1.4826666666666668,0.3751755026354703,-0.8466666666666666,0.3399620893897174,-8.48530461380881,7.0616883668004055e-06,7,10,++
0,5.999999999999997,5.02429586778808e-16,5.999999999999997,5.02429586778808e-16,5.999999999999997,5.02429586778808e-16,7,25,++
1,5.446047619047619,0.2322497640037953,5.773587301587302,0.23483914828697788,-8.457737295420396,0.008484028760338562,7,25,++
2,-2.660952380952381,0.30173719249262815,3.300190476190477,0.29235997939359004,-8.468152342507242,0.008640552324663368,7,25,++
3,-3.8588095238095246,0.3769766243196607,2.0072380952380957,0.3262499352134147,-8.473776747528587,0.0037550640444204103,7,25,++
4,-3.3198253968253972,0.276678616694995,0.762,0.3317920964752577,-8.463105767706386,0.0070968860377628,7,25,++
5,-2.7048571428571426,0.3785711408204956,0.10280952380952382,0.37314449603422384,-8.465376682208763,0.009827263817634876,7,25,++
6,-3.2029523809523806,0.3661410676928322,-0.40295238095238084,0.34925070139701053,-8.476096366483901,0.002973010552062539,7,25,++
7,-1.8628730158730162,0.31867970201551016,-0.8319999999999997,0.36913804213283125,-8.475823575792113,0.0035115031762779415,7,25,++
8,-2.684507936507936,0.3842608859100978,-0.7460000000000001,0.34667536906921204,-8.47579828742627,0.006428661672863974,7,25,++
9,-2.7022063492063495,0.3397066934670169,-1.4632380952380952,0.30083322053251316,-8.4794988771923,0.0022989399940494698,7,25,++
10,-2.6735714285714285,0.32731199793305726,-0.47231746031746025,0.3014590175283883,-8.482885553428197,0.0012095718227620386,7,25,++
11,-2.4702857142857155,0.33377224328198335,-1.0861904761904757,0.3279513887433391,-8.471719927250668,0.007292766992497415,7,25,++
12,-2.2952380952380937,0.3071947612105271,-1.072857142857143,0.36481442491470967,-8.481729180645502,0.00245300307590215,7,25,++
