N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,-2.0,0.0,-2.0,0.0,-2.0,0.0,3,10,HF
1,-1.7666666666666668,0.2061822279225615,-1.346666666666667,0.21311655652873776,-2.82842703522606,1.958961582605539e-07,3,10,HF
2,-0.9933333333333334,0.1940194721041049,-1.5466666666666666,0.18129411340569096,-2.828427098846484,2.481420533821995e-07,3,10,HF
3,-0.9399999999999998,0.22084484246738578,-1.0133333333333332,0.21622210802783326,-2.828427069682492,4.3381671307602803e-07,3,10,HF
4,-0.6199999999999999,0.2290094612310446,-1.0066666666666666,0.19194675187550203,-2.8284259539006342,6.674971141690966e-07,3,10,HF
5,-0.6266666666666667,0.23919122986523664,-1.0266666666666666,0.24273259177768264,-2.8284278368466977,8.41930469252482e-07,3,10,HF
6,-0.8333333333333333,0.21255064755906478,-1.0866666666666667,0.20543936656184797,-2.8284267437824417,3.067084816689392e-07,3,10,HF
7,-0.88,0.1968101171744538,-0.6333333333333334,0.2203532517471787,-2.828426467634533,1.8179128027313884e-06,3,10,HF
8,-0.36,0.2533052616025881,-0.8533333333333332,0.2148198211421738,-2.828427003686583,2.99548341541465e-07,3,10,HF
9,-0.7266666666666666,0.21117449340928154,-0.7933333333333334,0.2126844297701801,-2.828425716889914,1.1545796232716935e-06,3,10,HF
10,-0.2666666666666667,0.238700183866242,-0.9933333333333333,0.21550766936597762,-2.8284272894864273,5.398766781570654e-07,3,10,HF
11,-0.1,0.2197473296513268,-0.8866666666666667,0.24848161121320644,-2.828425699013452,7.057846980183696e-07,3,10,HF
12,-0.66,0.25059750819014753,-0.9466666666666668,0.21650968672196738,-2.8284275953865436,6.825051543756645e-07,3,10,HF
13,-0.41999999999999993,0.20282669120869337,-0.6666666666666667,0.19229606802474608,-2.8284271401692886,1.1602190192960941e-06,3,10,HF
14,-0.8866666666666667,0.17374566341510675,-1.0466666666666666,0.19322065682069864,-2.8284261041938725,8.4655808500234e-07,3,10,HF
15,-0.5133333333333333,0.27149135447663075,-1.1933333333333334,0.1591896144016102,-2.8284268096596206,1.3593691815768192e-06,3,10,HF
16,-0.4933333333333333,0.2535507838678477,-0.9133333333333334,0.1882811137044228,-2.8284266336566555,3.232883545638705e-07,3,10,HF
17,-0.4799999999999999,0.2280662671729912,-0.6333333333333333,0.2223610677354388,-2.8284263461141563,9.453417244377267e-07,3,10,HF
18,-0.6666666666666667,0.24257873864880333,-0.8866666666666666,0.21429159780282772,-2.828430225402901,2.286280820060046e-06,3,10,HF
19,-0.5866666666666667,0.24304732049541294,-1.0466666666666666,0.20742013188480782,-2.828426370868398,4.076333294789013e-07,3,10,HF
20,-0.6466666666666666,0.20878697277368619,-1.1466666666666665,0.20464820763663896,-2.8284268295997244,4.948048496981715e-07,3,10,HF
0,-2.0000000000000004,0.0,-2.0000000000000004,0.0,-2.0000000000000004,0.0,3,25,HF
1,-2.12,0.17581808780668728,-1.7933333333333334,0.18327635478212193,-2.8284283987897707,1.0375368955277544e-06,3,25,HF
2,-1.2933333333333332,0.15074334332087624,-1.679999999999999,0.15775085842344358,-2.8284265202353085,5.388196828951874e-07,3,25,HF
3,-1.2800000000000002,0.20728080792329362,-1.7066666666666666,0.16750190712015456,-2.828427323882723,1.5228420045721104e-06,3,25,HF
4,-1.1333333333333335,0.22978250586152116,-1.6466666666666665,0.15731355807925632,-2.8284272098480367,1.1196676284232263e-06,3,25,HF
5,-1.1066666666666665,0.17824826631539625,-1.52,0.17892518610364008,-2.82842703057134,1.3340871898111713e-06,3,25,HF
6,-0.9866666666666666,0.18183264588932074,-1.2933333333333328,0.19405382987431322,-2.828428335313682,1.05551994339693e-06,3,25,HF
