N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,-5.04661450385446,0.0669605109211673,-4.929453571831418,0.0572666873254127,-6.15443435591448,0.02032817499812662,6,500,HF
2,-5.480861264586131,0.12004927213612442,-5.956534241944085,0.09394764530073543,-6.807150215138659,0.032597693758579654,6,500,HF
3,-5.6535509067285945,0.08254240757164207,-6.022057631900992,0.07361069790484945,-6.90913651906796,0.025556334224578103,6,500,HF
4,-5.507026463845464,0.086819173753065,-5.743296698800005,0.09242984397443663,-6.938979095630534,0.024888308512104496,6,500,HF
5,-5.405501253394062,0.09242078195647083,-5.898016749914928,0.0743695617408611,-6.9691722567076395,0.018691824613796475,6,500,HF
6,-5.4552517153068765,0.09503399533443836,-5.763978878650607,0.061381101101138036,-6.9551836764592645,0.020100410918802526,6,500,HF
7,-5.367159563405032,0.11113136979885618,-5.755510085926183,0.08609620961001505,-6.997634042687386,0.01963512322168108,6,500,HF
8,-5.373812155340479,0.0985079676741479,-5.618277506530763,0.06499174232909494,-6.995819698467572,0.015270763666755362,6,500,HF
9,-5.225948591211916,0.11097094221797962,-5.563476027127293,0.10735158233787326,-7.014756335901783,0.012988506519643839,6,500,HF
10,-5.487204855080169,0.09279150015176012,-5.652775162708121,0.08237528844104042,-7.004761247708839,0.01828901251843007,6,500,HF
1,-5.014980698225141,0.048814676166418755,-4.998823762025189,0.041920031684463455,-5.864433248380834,0.024097741641235175,6,1000,HF
2,-5.799657539304958,0.07206348504250441,-6.042762968199868,0.05998176274520154,-6.7477033151305,0.030941258617904515,6,1000,HF
3,-5.8660646470920526,0.0682052510681072,-6.195113803958403,0.062352145138965934,-6.868769988531312,0.02043047488594065,6,1000,HF
4,-5.9296665050289175,0.05052779467817216,-6.105997945263083,0.04716789208173082,-6.892420812655871,0.015444216919781692,6,1000,HF
5,-5.915645817615956,0.05282844132903678,-6.010217229072896,0.046903623356540684,-6.919670042470378,0.01209212357524161,6,1000,HF
6,-5.9066167790466455,0.05304234218525454,-6.0773964169665815,0.05724693671691328,-6.9374817130109445,0.01142572622834922,6,1000,HF
7,-5.792425284001301,0.06988449166079393,-6.098274366748859,0.06785801088627223,-6.9432422367675795,0.018857385396365778,6,1000,HF
