N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,-2.9803928968883913,0.056935251666298335,-2.92159207318191,0.05928031982985728,-3.9933751379794087,0.01459051042987482,4,500,HF
2,-3.477625582946203,0.08680100126013422,-3.314255810552836,0.06950563717216314,-4.051446828787423,0.02973652843739179,4,500,HF
3,-3.365739154574,0.07803700986835958,-3.629224306301177,0.06313450418103955,-4.215126926533609,0.021916838207089,4,500,HF
4,-3.4374898549054627,0.054916998121834724,-3.593719106875217,0.06282952095979603,-4.287007015176031,0.0226337108797063,4,500,HF
5,-3.5651541322829896,0.051438862961275235,-3.657407513908421,0.05277063829865353,-4.338755461994237,0.017389260706498145,4,500,HF
6,-3.4417668796080307,0.07636573276924519,-3.5150261688734106,0.06315020909255496,-4.340041317513482,0.018265863885810286,4,500,HF
7,-3.5306430409007543,0.07211611590223768,-3.5585050435213774,0.0723750227351495,-4.366664052955637,0.018747693307587934,4,500,HF
8,-3.6293350321413937,0.07509747175695865,-3.669302421850516,0.058504228245622916,-4.397934017932692,0.01002938083733982,4,500,HF
9,-3.4980203469314177,0.054547202864468534,-3.5617196561588584,0.06039771382670105,-4.398081378288679,0.00819695517944478,4,500,HF
10,-3.6032138889691563,0.06814495275528284,-3.626441830834399,0.057521877484910965,-4.400727089036947,0.0076039239163153026,4,500,HF
1,-2.989854006640323,0.0334900478916347,-3.032229004671687,0.038371047603190676,-3.7225897342238055,0.01253090404079205,4,1000,HF
2,-3.528000706713687,0.08226440825178574,-3.7500918854574183,0.05975671033505205,-4.228096459437047,0.028963010777878433,4,1000,HF
3,-3.6718779378340445,0.06337330595494872,-3.73368696300236,0.03840230219331993,-4.248557808915317,0.012865566128184036,4,1000,HF
4,-3.652791098459881,0.05225698469786533,-3.6797925077619698,0.038685477508153696,-4.2885202982064925,0.012706532091477573,4,1000,HF
5,-3.7131707149024122,0.049679575340609995,-3.7753154892954406,0.048480574032878636,-4.2841879288601135,0.01494899032923803,4,1000,HF
6,-3.729973153659915,0.047441329887214403,-3.725198207010169,0.02743878057172982,-4.308850378928178,0.014336886067049604,4,1000,HF
7,-3.8166195466119013,0.03290607268491414,-3.844399543201786,0.03763037839698466,-4.335612277129986,0.012949226200011025,4,1000,HF
8,-3.7314317470476137,0.03864913867557136,-3.766789097475147,0.03304408350561088,-4.3401067114566905,0.012889032726942654,4,1000,HF
9,-3.716173211024824,0.04050019011314401,-3.7702898555906716,0.041183965201401704,-4.3626813645043105,0.011677415389789305,4,1000,HF
10,-3.693151785146692,0.06829647409769461,-3.7541749968750286,0.04685436644912784,-4.372778174849673,0.012804537737943014,4,1000,HF
1,-2.9873575896816824,0.03380291938327599,-2.9638435862503805,0.025441161852465023,-3.55701692214883,0.01620533444858618,4,2000,HF
2,-3.842393817249144,0.05994195701941659,-3.8871032573774515,0.021473612726541615,-4.226257600440877,0.00703338606072209,4,2000,HF
3,-3.877118713511578,0.02619130289565395,-3.908658593576579,0.026720702496984283,-4.275489247493937,0.007879475481996674,4,2000,HF
4,-3.908655403020867,0.03341193399913714,-3.869500873036671,0.028917088363995973,-4.3076175175399705,0.00798608809859205,4,2000,HF
5,-3.864108038443843,0.03165612706110761,-3.8705929167979587,0.021560017550323187,-4.314668899666645,0.00853300638410756,4,2000,HF
6,-3.803904443817367,0.03703429977817316,-3.8905103472455265,0.025611230081638146,-4.330454634149552,0.009616856218690685,4,2000,HF
7,-3.873667344405709,0.026586760359134442,-3.8599989278242,0.024707695459570016,-4.357354324028745,0.009195192306178645,4,2000,HF
8,-3.8910231954044048,0.040599440031119996,-3.8499987659693953,0.028719809096318195,-4.365267549347862,0.009986820369054928,4,2000,HF
9,-3.812082346012979,0.04871700003793065,-3.92281978780249,0.026343920348304066,-4.369521576933565,0.007082591950696685,4,2000,HF
10,-3.8636125898202307,0.03309195771866857,-3.906259381962758,0.02981863700908799,-4.3642166921105705,0.008893057627005183,4,2000,HF
1,-2.969962034414962,0.016211086660856768,-2.97339115684559,0.013463641153565391,-3.5108240734089264,0.0199332557339821,4,4000,HF
2,-3.939559465184733,0.013911502748510034,-3.901618268277791,0.018011156556678024,-4.158133540996451,0.006154758769343194,4,4000,HF
3,-3.957727670771913,0.012089708581093992,-3.943726229851251,0.01625110204417288,-4.238449445877664,0.005988422974927619,4,4000,HF
4,-3.905439220506624,0.02599721877136015,-3.925161858049376,0.020978061498675038,-4.275964906156074,0.007687404652055691,4,4000,HF
5,-3.898552672898342,0.027692091908306276,-3.957077170594518,0.01908237645700916,-4.300583158825335,0.009064523152954553,4,4000,HF
