N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,4.005830453877641,0.055096178945003196,3.974944701249786,0.04742004764420668,2.8960103661818253,0.0008564274738791542,5,500,++
2,-2.526938773265452,0.1590368576907113,-1.9329376402828675,0.052333823154791494,-2.9841896003863972,0.02385114566898665,5,500,++
3,-4.607232977389429,0.08705382561800967,-4.429999401327588,0.07846446151599652,-5.275293984110098,0.03952328552242779,5,500,++
4,-4.51401814887951,0.09957768182247433,-4.643775257914665,0.06562723862028232,-5.456373480160835,0.024121590741516565,5,500,++
5,-4.258139062951761,0.09559042778551921,-4.640049781574529,0.08057604389623371,-5.526252740668189,0.019487118708590455,5,500,++
6,-4.684256434733411,0.09381886237681365,-4.592960685871264,0.09167992906508736,-5.532164236897969,0.022155504934979177,5,500,++
7,-4.316824576628507,0.12368739602728311,-4.7147586140019,0.07779838259513329,-5.565965947158016,0.012027546389824869,5,500,++
8,-4.317142762863271,0.11487150657530172,-4.5742738733792905,0.0803823793342521,-5.57350963907826,0.012386372232877486,5,500,++
9,-4.250240254509903,0.1359217753908884,-4.652246754119712,0.06151276178629642,-5.585269127819047,0.011206903743086206,5,500,++
10,-4.459635390597647,0.090284367494992,-4.559784549425326,0.09553102530568068,-5.57437960490088,0.013918781704861102,5,500,++
1,3.9624347339832027,0.030530444092258312,4.020845761516427,0.03084427270643862,3.2645420097989124,0.0003957863604996729,5,1000,++
2,-2.2309922964643216,0.12924453464833266,-1.9902377582245017,0.03018339400932089,-2.884714453242836,0.024236634272102424,5,1000,++
3,-4.690782675270521,0.052083805886323144,-4.393568236406761,0.08821588903515366,-5.113801986703279,0.06751313423736678,5,1000,++
4,-4.679882534593976,0.05847238067263409,-4.785738455946249,0.05434058612545748,-5.444777595578991,0.020875234592978936,5,1000,++
5,-4.820965371677584,0.08975866105898883,-4.766598932165625,0.044304427044587966,-5.520475008352708,0.013858261860183551,5,1000,++
6,-4.90068306814329,0.057146876202531574,-4.937176735779424,0.04907054071312751,-5.547718315728633,0.014102246788590131,5,1000,++
7,-4.845240250098048,0.06376681462874143,-4.840070461074827,0.048426676620549905,-5.560266698639319,0.011732138407470775,5,1000,++
