N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,5,10,++
1,2.8973333333333335,0.24955220340085602,3.1733333333333333,0.25651337413692704,-5.656865522860184,7.695102306584389e-06,5,10,++
2,-1.4286666666666665,0.26256852650519846,1.248,0.26609298291303285,-5.656866663591263,6.503784139159706e-06,5,10,++
3,-1.7799999999999998,0.24011293639082054,0.8059999999999998,0.3019399351600322,-5.656869397072075,6.243904666304853e-06,5,10,++
4,-1.6506666666666672,0.35528047136499546,0.38666666666666666,0.26618456420728503,-5.656859151811532,6.416018132865898e-06,5,10,++
5,-0.81,0.27108875135481203,-0.21666666666666665,0.29090853850957654,-5.656857200588404,4.876711909687989e-06,5,10,++
6,-1.4333333333333333,0.2688659310676771,0.019999999999999966,0.27230048761534664,-5.656859216986452,5.1206525865919055e-06,5,10,++
7,-1.5019999999999998,0.2793077315236528,-0.6686666666666667,0.29362774619121634,-5.656850052763272,4.773595277869467e-06,5,10,++
8,-0.6,0.3031684533573886,-1.1793333333333331,0.29365420329208825,-5.656863021943917,3.5266037640204143e-06,5,10,++
9,-0.53,0.3039989035067945,-1.0933333333333335,0.2881804989932525,-5.656852046951443,3.735539325029081e-06,5,10,++
10,-0.9159999999999999,0.28808986252363844,-0.7833333333333331,0.28406767581765524,-5.656858909415104,4.127734070373231e-06,5,10,++
11,-0.5113333333333332,0.26533770515661315,-0.8140000000000001,0.29510388378030916,-5.65685023504273,4.845173945313697e-06,5,10,++
12,-0.9133333333333334,0.2445512897805557,-0.44,0.28287256651872217,-5.656867559599212,5.33286846270035e-06,5,10,++
13,-1.3033333333333337,0.2594733983367938,-0.6386666666666667,0.31474061278032334,-5.656866996011429,4.171316328548893e-06,5,10,++
14,-0.47,0.27037792480567313,-1.1633333333333333,0.3198781017825384,-5.6568545624803495,5.159154981690183e-06,5,10,++
15,-0.7666666666666667,0.3637153954521156,-0.5466666666666667,0.28933026112040205,-5.656854883984773,5.008131394893547e-06,5,10,++
16,-1.2233333333333334,0.30490836510517566,-0.8666666666666667,0.28705400188814645,-5.656861898620726,5.314438335940832e-06,5,10,++
17,-1.0286666666666668,0.2756697057470528,-0.7533333333333334,0.280604110209859,-5.656854788648779,5.246433403230213e-06,5,10,++
18,-1.291333333333333,0.32273113680998716,-1.3946666666666665,0.2892785816091087,-5.656859714899598,4.141534217354406e-06,5,10,++
19,-0.9799999999999999,0.2844347220560653,-0.8320000000000002,0.25921584313720736,-5.656865040973028,4.054296409516953e-06,5,10,++
20,-0.3933333333333333,0.3075263313026129,-0.518,0.29855535127975485,-5.656857172594453,5.052881608896066e-06,5,10,++
0,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,5,25,++
1,3.729047619047618,0.19883621719858094,3.5033333333333325,0.17062304129929876,-5.646197035581785,0.003554714311666239,5,25,++
2,-2.196476190476191,0.23363470566593902,1.9432380952380948,0.2442796004061804,-5.6519614674224306,0.002537833918064016,5,25,++
3,-2.593142857142857,0.2472831113174879,1.0857619047619047,0.25282756969919246,-5.652004893546666,0.0027799214341080393,5,25,++
4,-2.1619047619047618,0.2409138685578148,0.2799047619047618,0.26805506896904596,-5.650306386221555,0.0025082479210174896,5,25,++
5,-2.508952380952381,0.23906574167692332,-0.45225396825396813,0.257269958162903,-5.654775936130039,0.0014650206092887822,5,25,++
6,-2.4699999999999993,0.21765415992655263,-0.5476666666666667,0.23438219548440686,-5.652558260161713,0.0023547615977651108,5,25,++
7,-2.155809523809524,0.23725661987280644,-0.42542857142857143,0.240642323000439,-5.651236973866121,0.004158791182908792,5,25,++
8,-1.8243809523809529,0.2440338491817995,-0.7205714285714286,0.27307525363836954,-5.655434416004309,0.0009234824258684519,5,25,++
9,-1.649333333333333,0.28653794009015826,-0.3380952380952381,0.19335036284370244,-5.656149613347991,0.0006139564029974494,5,25,++
10,-1.6039047619047622,0.30253623879183944,-0.9200952380952384,0.2649168539393705,-5.651111023589857,0.002687545062308903,5,25,++
11,-1.6437936507936504,0.3017646376618869,-0.5124761904761905,0.2598998547757802,-5.6530405479345225,0.0025426649186727937,5,25,++
12,-2.033111111111111,0.27786128453635367,-1.0331904761904758,0.29818556679507136,-5.647782924658689,0.005745129045454449,5,25,++
13,-1.1541904761904764,0.272594518006444,-1.2757619047619049,0.24924256860443234,-5.652791826792305,0.002349364660307771,5,25,++
14,-1.7392380952380952,0.2544197456647714,-0.6543174603174602,0.270283631023587,-5.6539128637908815,0.0019085161153761844,5,25,++
15,-1.3245714285714287,0.25328765646217305,-0.7942380952380952,0.25521867454544683,-5.6562813283917945,0.0005424047297244245,5,25,++
16,-1.1595238095238094,0.27860573659310217,-0.6383333333333335,0.25187262599951415,-5.655687164935622,0.0007890922283970373,5,25,++
17,-1.2728571428571427,0.22038874127076355,-0.7193333333333333,0.2611734433826392,-5.653969113553944,0.0017252943691258445,5,25,++
18,-0.8875238095238096,0.33257614380555234,-1.5948571428571432,0.26525906867577437,-5.655733270955048,0.0006408528259249729,5,25,++
19,-1.134952380952381,0.2520198174549428,-1.1774285714285713,0.24947945116439546,-5.6537361626853615,0.001745362353287843,5,25,++
20,-0.42738095238095225,0.24951019819291467,-0.6018095238095238,0.265591766940669,-5.655255188261521,0.001493068474052901,5,25,++
0,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,5,50,++
1,4.0456608946608945,0.10532131572115831,4.092507936507936,0.13420783166838196,-5.352984611010612,0.032862944485798636,5,50,++
2,-2.2456738816738815,0.23353586866918138,2.0677849927849925,0.16457254201051705,-5.248223060887385,0.04923506821116986,5,50,++
3,-2.802935064935065,0.2031868562080676,0.9360606060606059,0.17453784328652744,-5.3977893537692365,0.036137687067669094,5,50,++
4,-2.8040281940281937,0.1978484533418833,0.14389232989232986,0.19076073956547707,-5.4454965751591375,0.03567601349147446,5,50,++
5,-2.488527472527473,0.23758043934788772,-0.21367698967698967,0.16423551851928297,-5.548239231168829,0.02072970337339739,5,50,++
6,-2.0075396825396816,0.1854411018150465,-0.6237116217116216,0.23231852508746034,-5.5292858451384905,0.0211705136125549,5,50,++
7,-2.273989898989899,0.1939924745723213,-0.5318571428571428,0.16474179908261696,-5.544682774340531,0.026331470703442342,5,50,++
8,-2.31598556998557,0.2088446499118154,-0.8142698412698411,0.1899270768679095,-5.505410128317121,0.031097572715965294,5,50,++
9,-1.9318095238095236,0.18002978774870645,-1.3049324009324008,0.1694683066961087,-5.592300755893279,0.01670931177283018,5,50,++
10,-1.868494949494949,0.23726892836185934,-0.844272727272727,0.1690997767892707,-5.575623922607486,0.02116783819906798,5,50,++
11,-1.9544759684759685,0.22017785950433674,-0.9059855699855699,0.1934400718656736,-5.594518347364104,0.013612911989076689,5,50,++
12,-1.5553419913419915,0.20628122283941078,-1.0228268398268394,0.21389823824735651,-5.601778789257398,0.014230434122271766,5,50,++
13,-1.8694271284271293,0.20637208769101023,-1.0793968253968251,0.21447935279182115,-5.6011522645360765,0.017398773036109903,5,50,++
14,-1.6884497724497722,0.22372414645159297,-0.8761341991341993,0.20832276666458296,-5.596052489567294,0.014468862423738836,5,50,++
15,-1.7640516150516152,0.20785347581666697,-0.9431428571428576,0.18300505605569486,-5.6002866583511635,0.015823355682869016,5,50,++
16,-1.431734487734487,0.27100407739644267,-1.023493506493507,0.15274951968183487,-5.614476339799397,0.012206121287337937,5,50,++
17,-1.558113997113997,0.18522451071097326,-1.1643809523809525,0.2049967967275115,-5.592749539925048,0.01958288863271234,5,50,++
18,-1.4158773448773447,0.2249068897837735,-0.9080418470418469,0.20540019709206098,-5.610763912087973,0.015062465297739946,5,50,++
19,-1.5352539682539685,0.2248294072108509,-0.9083766233766233,0.19666645060543053,-5.603296219191432,0.015873409548124075,5,50,++
20,-0.8621428571428571,0.24150866853702316,-1.1634170274170272,0.2145286476076658,-5.612658242898303,0.018981696922534437,5,50,++
0,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,3.9999999999999996,3.76822190084106e-16,5,100,++
1,3.9113487982605637,0.0912453732272818,3.9683413612531258,0.09525921521495222,-3.8077616592740635,0.05601133870752223,5,100,++
2,-2.1487073511284036,0.21792597215782564,1.6351595593948534,0.12268932010657531,-4.429375060898282,0.0847339153609752,5,100,++
3,-3.270667491435294,0.16097138212602383,0.3293623957741604,0.15971108051809205,-4.880574076427873,0.07326034459820266,5,100,++
4,-3.0362181287924326,0.17525653303124125,-0.5709970780853133,0.1578481875872322,-5.1158841154467005,0.050288533056913096,5,100,++
5,-2.893679483914778,0.14089379597829974,-1.169122873858168,0.1670477667594909,-5.260979740238248,0.052921840958858074,5,100,++
6,-2.9701450085861865,0.13571463549738316,-1.2626762322644673,0.18319589393359237,-5.310817197555809,0.05184540334140494,5,100,++
7,-2.9561218944454235,0.12431348276473339,-1.181868197162315,0.15644917752388707,-5.362443493375416,0.04453077058672893,5,100,++
8,-3.0283521021462194,0.1546842556681165,-1.3271616488087075,0.16751122645357916,-5.436532170055836,0.04281552580138059,5,100,++
9,-2.7255755649579174,0.13515290384447948,-1.6139003897719064,0.20182294032190246,-5.421720276371192,0.04264489325986491,5,100,++
10,-2.9475372503313673,0.15898220789513987,-1.7135780758629053,0.1679765584131528,-5.450296417218673,0.042375611898693384,5,100,++
11,-2.7638406626053675,0.1700259270152731,-1.4056018393371335,0.16611091063308248,-5.460625944951883,0.03220006372352769,5,100,++
