N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,-3.9998843103343713,5.02429586778808e-16,-3.9998843103343713,5.02429586778808e-16,-3.9998843103343713,5.02429586778808e-16,5,10,HF
1,-2.4066666666666663,0.2981483597882847,-3.0833333333333344,0.28496588489774616,-5.65685448418927,3.261150046868194e-06,5,10,HF
2,-1.7473333333333332,0.31561451874786184,-2.35,0.2944769374104986,-5.65685376470898,3.48033611220619e-06,5,10,HF
3,-1.104,0.31563641530512077,-2.203333333333333,0.3035819493975226,-5.656859340267893,4.1316526758880236e-06,5,10,HF
4,-0.8566666666666667,0.3260882634434358,-2.214,0.22078665418604146,-5.656852666500162,3.92916093665668e-06,5,10,HF
5,-0.8866666666666667,0.29523775729627355,-2.076666666666666,0.2732198951597615,-5.656864530771022,3.4988752768606047e-06,5,10,HF
6,-1.1166666666666665,0.2920140788082352,-1.5986666666666667,0.2644624905140403,-5.656856893178838,4.701453167693826e-06,5,10,HF
7,-1.0166666666666664,0.2756104336035033,-1.4533333333333334,0.3073557475557528,-5.656850815677421,3.6062133394542867e-06,5,10,HF
8,-1.3086666666666666,0.31307905994776736,-1.5286666666666668,0.29229514763904874,-5.656860801543348,4.414445013828638e-06,5,10,HF
9,-0.9499999999999998,0.30729103107278904,-1.524,0.2558906710991152,-5.65685546670519,4.047302609104395e-06,5,10,HF
10,-1.3106666666666669,0.27439863945240933,-1.1766666666666667,0.29997814735225115,-5.656853484864431,5.4678748018478674e-06,5,10,HF
11,-1.3033333333333332,0.23747233757031813,-1.3566666666666665,0.2421207228727943,-5.656853569136717,4.062900907234254e-06,5,10,HF
12,-0.8580000000000002,0.33120092592463163,-1.5133333333333334,0.27332682919090756,-5.656850867705028,4.327500393353338e-06,5,10,HF
13,-0.5866666666666667,0.32149788317948363,-1.2100000000000002,0.29854499009548147,-5.656861376565684,5.1510544186148605e-06,5,10,HF
14,-0.7506666666666668,0.2892353751224463,-1.2113333333333334,0.28927282009280514,-5.65685080186469,3.6135184383738985e-06,5,10,HF
15,-1.3313333333333333,0.2709889870661004,-1.58,0.2760531349818968,-5.6568560653038436,4.530628461498261e-06,5,10,HF
16,-0.9433333333333332,0.29134210513110226,-1.182,0.2765376566682295,-5.656850739262062,4.092716558659886e-06,5,10,HF
17,-0.8533333333333336,0.25058331947677603,-0.6533333333333334,0.264274268306411,-5.656854580473601,4.507455090709069e-06,5,10,HF
18,-0.3466666666666666,0.2827122604738291,-0.6873333333333332,0.2743572529061738,-5.656867255649736,4.783339167879273e-06,5,10,HF
19,-0.37000000000000005,0.2724901629213225,-0.8833333333333334,0.3141213495167468,-5.656857442143481,4.615263970408449e-06,5,10,HF
20,-0.5,0.26407069760451146,-1.172,0.3032276152771489,-5.656854844361325,4.703725533511971e-06,5,10,HF
0,-3.999890405133954,6.2803698347351e-17,-3.999890405133954,6.2803698347351e-17,-3.999890405133954,6.2803698347351e-17,5,25,HF
1,-3.740666666666666,0.21445598356979664,-3.77895238095238,0.2210749696872584,-5.656321967469557,0.0002879433611787678,5,25,HF
2,-3.2454285714285707,0.21730996953003068,-3.384809523809523,0.2706303290677855,-5.651321889856757,0.0035898796315979218,5,25,HF
3,-2.6874285714285713,0.30263624049171134,-3.289619047619047,0.1891809624494177,-5.653156115762701,0.0022709149130165653,5,25,HF
4,-2.9818095238095226,0.21770131569915427,-2.3394285714285714,0.2535193298591744,-5.650615839068617,0.0053756845769729975,5,25,HF
5,-2.4972380952380955,0.21317728518919393,-2.560761904761904,0.24512162967256343,-5.656211276743906,0.0005594973268368891,5,25,HF
6,-2.409619047619048,0.2989464945794066,-2.0039999999999996,0.25208091275613015,-5.651138019748384,0.0028155514383628776,5,25,HF
7,-1.723095238095238,0.2944874039169752,-1.6346190476190479,0.2621986334849222,-5.6545122166350295,0.0010719438163138734,5,25,HF
8,-1.4445714285714282,0.21970046646738461,-1.9106666666666663,0.26453277375407136,-5.655948717048636,0.000555087872591728,5,25,HF
9,-1.2647619047619052,0.3057148790974808,-1.8442857142857145,0.2882454311371276,-5.656798007236932,3.61296674980912e-05,5,25,HF
10,-1.7523650793650796,0.3260750396210123,-1.1826666666666668,0.2646997789393137,-5.65443467241663,0.001653384581924044,5,25,HF
11,-1.78,0.2576181498091916,-1.4744761904761907,0.30343107522955853,-5.650165457825206,0.0035185309557759455,5,25,HF
12,-1.2000476190476188,0.2752358089376125,-2.3522857142857148,0.2818679670324428,-5.6544231116528465,0.0016521718548579937,5,25,HF
13,-1.118190476190476,0.26665767637906485,-2.0126666666666666,0.24406718564999905,-5.655394470861414,0.0009146584281317434,5,25,HF
