N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,1.984284651021493,0.041036763601705384,2.0340332649806334,0.03682039084368302,1.4377154540538977,0.011867788889866558,3,500,++
2,-1.9662888534467484,0.028620958098682737,-2.0196213766740083,0.03751681820785478,-2.384987304119172,0.00041315818130837847,3,500,++
3,-2.1971782992835625,0.056701676512193,-2.297946229209387,0.03679653492789485,-2.7143592157702385,0.007517529483063072,3,500,++
4,-2.354758968127389,0.06086519193397161,-2.479211361737678,0.04483922500766587,-2.789583485631022,0.01057074610805268,3,500,++
5,-2.41444611528822,0.07361029981692661,-2.5204226222120956,0.051829763305002295,-2.8118493939919516,0.006599549874501896,3,500,++
6,-2.464675223412066,0.059909197864997224,-2.5387304118883067,0.05230342605381484,-2.823005928621857,0.0017516534110896167,3,500,++
7,-2.483453785980102,0.05884827730822382,-2.5727116275537325,0.04721145403715708,-2.823424652669768,0.0017229141236473108,3,500,++
8,-2.4629698488645855,0.05853570841940729,-2.586927470190628,0.05073146882602854,-2.817561199459635,0.005324978134845111,3,500,++
9,-2.438736133262449,0.04603492476965335,-2.5306114275587963,0.049024736920870594,-2.822139849049652,0.002996820194475545,3,500,++
10,-2.4057777271461482,0.11682016084935058,-2.4979988354725196,0.04547202517930045,-2.8164937098277005,0.004619992996455461,3,500,++
1,2.073790218790219,0.026423999342544042,1.9651158301158305,0.028927973877908464,1.625141707339894,0.007402037906224448,3,1000,++
2,-1.9571879021879022,0.032313441448824455,-1.9945817245817241,0.03112322208258122,-2.282163021534354,0.00045680165147981547,3,1000,++
3,-2.2200772200772194,0.03444542636535738,-2.357535392535392,0.02699886238566427,-2.652032463296537,0.009504134677161009,3,1000,++
4,-2.41998712998713,0.04706293495403166,-2.4614543114543115,0.03872424871279658,-2.7676393617148354,0.01198942916859709,3,1000,++
5,-2.546415701415701,0.05363643226168774,-2.5760746460746464,0.036550943408040736,-2.814253711493121,0.0036686426317657193,3,1000,++
6,-2.6587001287001293,0.04712420380953786,-2.5839897039897037,0.037802916102746296,-2.8217016251480596,0.001825899542990486,3,1000,++
7,-2.607310167310167,0.04075324527192645,-2.6543822393822394,0.029994904676485475,-2.821503066274918,0.002680180158071604,3,1000,++
8,-2.6312226512226515,0.04381385240409292,-2.6150643500643502,0.03388054938858462,-2.823022540648677,0.0023639949999752895,3,1000,++
9,-2.6290347490347488,0.04202545388434378,-2.6093307593307586,0.03326422824356752,-2.824386625457203,0.0018118215182363246,3,1000,++
10,-2.6495752895752895,0.02919230194339254,-2.5893307593307595,0.037661293414729125,-2.815606063003587,0.006859712501249839,3,1000,++
1,1.983971235809801,0.022343458889967194,1.995990803423539,0.016728553239145842,1.747604357524609,0.004761748154520128,3,2000,++
