N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,-4.071753820731273,0.06709012527374077,-3.97565666620962,0.06516065407124425,-5.345106044094752,0.015925596803122236,5,500,HF
2,-3.912044448030975,0.09354059681550204,-4.214943228848854,0.07259853878137193,-5.153581829071545,0.03959272121964729,5,500,HF
3,-4.036115592365431,0.13051457171406197,-4.306290204787483,0.07696424523199666,-5.347052704611046,0.032622443212288674,5,500,HF
4,-4.335623688062643,0.12729935302404377,-4.619565474501892,0.0677463320438303,-5.46846137883874,0.021961839083047253,5,500,HF
5,-4.187210854711177,0.1154352146999951,-4.618517926415494,0.06886500986972892,-5.521113894852357,0.02083505864371033,5,500,HF
6,-4.106059290851501,0.12518345284945637,-4.628211709042248,0.07436856757345905,-5.560551349627433,0.01808971768119116,5,500,HF
7,-4.303629013320483,0.10503504848241926,-4.612029285233937,0.0635949561722453,-5.565374774458299,0.017403552944181756,5,500,HF
8,-4.480204083196793,0.08932659485555064,-4.621611804188876,0.07035395994600586,-5.587356909210025,0.01262390720364481,5,500,HF
9,-4.375248146459933,0.09777935836846884,-4.624088815868077,0.07647928308369964,-5.6005762719318355,0.011592449036144275,5,500,HF
10,-4.19954160732579,0.09766172949928308,-4.630412862913708,0.07921908487805711,-5.5839658519213256,0.01543589759041293,5,500,HF
1,-3.922706864522342,0.037638170996621076,-3.9821304197305043,0.05280661202184428,-5.094516290809497,0.013489879709399893,5,1000,HF
2,-4.105880371731509,0.07835259043005917,-4.4157274247168345,0.060355990472786836,-5.1989456587146625,0.037001396715796143,5,1000,HF
3,-4.658673774686394,0.06941886029347373,-4.720295917086004,0.04391369116375031,-5.435337350366555,0.01928248590969661,5,1000,HF
4,-4.670905794732282,0.11510248835668821,-4.869256470311613,0.04166777668725334,-5.539321920621542,0.007497902220832141,5,1000,HF
5,-4.761465782124017,0.06273671569367648,-4.855980869857946,0.04472302173213731,-5.54540747756761,0.010713367005232914,5,1000,HF
6,-4.709448318790431,0.06345079862118676,-4.889112835831585,0.040648962073309536,-5.572059711649266,0.008311318574495869,5,1000,HF
7,-4.583959936686657,0.07439460672833312,-4.900541838573455,0.04713665460701311,-5.57063127529448,0.009436226920783657,5,1000,HF
8,-4.648755082480522,0.07157226371379816,-4.893572082265835,0.039671103144043436,-5.589577281356212,0.006019043896030855,5,1000,HF
9,-4.771989091610462,0.06240694469871344,-4.860266950119751,0.05183465349491166,-5.578163783599912,0.00862453839085734,5,1000,HF
10,-4.775619350345283,0.054827931646034556,-4.896867047919644,0.03932905892444828,-5.583115767121741,0.008445992865662454,5,1000,HF
1,-4.013515417670071,0.02837157233867168,-4.02874860705131,0.028363125472545343,-4.728726665390067,0.01652553022818609,5,2000,HF
2,-4.536680642655413,0.053726877044593814,-4.558799914719259,0.05432609363703004,-5.136547556964933,0.03264787532346826,5,2000,HF
3,-4.792178951934286,0.04529585930296335,-4.8675166975230475,0.03415523290803666,-5.363691310678641,0.01676921806161673,5,2000,HF
4,-4.956581956062853,0.04115492665164201,-5.021846237527409,0.028035287527281266,-5.503441011572255,0.013124828536623667,5,2000,HF
5,-5.000819380430706,0.038048303685488984,-5.0125503080661415,0.03815969464940013,-5.538364716894986,0.00904651352477572,5,2000,HF
6,-4.9675107944912185,0.03830723452038449,-5.039338869242659,0.029500780697993327,-5.5512061107319335,0.009838564476102398,5,2000,HF
7,-5.005862369708711,0.03963022606102669,-4.998305070483128,0.03444793626248826,-5.544588482638468,0.008958995200793716,5,2000,HF
8,-5.0509627986220185,0.033602989139671434,-5.025111155283897,0.038188632052878466,-5.558402991380858,0.0084090016368281,5,2000,HF
9,-5.089008451342713,0.030805681249328382,-5.039427914212759,0.02697485296902699,-5.572676702169041,0.005625905834922144,5,2000,HF
10,-5.074008420325835,0.03623544683283452,-5.00060966186719,0.03410746062104976,-5.567225033435438,0.006205745847381279,5,2000,HF
1,-3.9884164412822156,0.021487604748432473,-4.027526669546746,0.02128939294944732,-4.705349033192817,0.030118654411063556,5,4000,HF
2,-4.611390707403614,0.05385815812687876,-4.6253475596664675,0.03893843663149422,-5.055690740648421,0.021854523537457815,5,4000,HF
3,-4.849370126044133,0.03066556813536146,-4.854451630476217,0.0356312311912282,-5.274122473271077,0.017168886162984377,5,4000,HF
4,-5.059108186572051,0.027191539859987367,-4.9868406203287785,0.030745614570554202,-5.465967643287858,0.012212608079665262,5,4000,HF
5,-5.079791653767573,0.026213759507850896,-5.065996036282679,0.020199935550848987,-5.4972592600966985,0.006983860647337406,5,4000,HF
6,-5.109867242453792,0.025070912292774222,-5.13140260170078,0.021902705000773515,-5.517378665618416,0.005588972889954199,5,4000,HF
7,-5.1895668158306565,0.016208861077355637,-5.149637479885951,0.022502801448205996,-5.538859476950296,0.005305924371582593,5,4000,HF
8,-5.138841037377675,0.016621679766481528,-5.14821886697769,0.02249693088044969,-5.549519091098721,0.006655712881759676,5,4000,HF
9,-5.1663203370121265,0.025199545668456596,-5.141029709144195,0.02060996387533983,-5.5463849224451955,0.0054185960065849,5,4000,HF
10,-5.150109003354541,0.026573797648149582,-5.151134669228681,0.024319863033390447,-5.556018444842607,0.006107843003325498,5,4000,HF
1,-3.9906777076135587,0.011925037613909475,-4.009079046141826,0.018201800536801406,-4.444076592391898,0.031114807754266866,5,8000,HF
2,-4.668342738905484,0.03104887677114316,-4.70960102634678,0.023279263695249384,-5.02685736037977,0.017691589265061387,5,8000,HF
3,-4.733161599949346,0.03449785791407213,-4.852826348014321,0.028617673189686076,-5.176756171359362,0.015127723591692866,5,8000,HF
4,-5.012919321243082,0.0276281499673451,-4.986708701626917,0.022390140214636957,-5.349670732255982,0.025032806611735507,5,8000,HF
5,-5.1205279764995195,0.02386706501678911,-5.099008546219121,0.025109128617012644,-5.434411716164783,0.013849321703404804,5,8000,HF
6,-5.168143247242523,0.02047434896071132,-5.158570355432894,0.021059290241223796,-5.492315450981233,0.00761682529871566,5,8000,HF
7,-5.21070535654603,0.01681820259835859,-5.186473778767724,0.016341139478100033,-5.508942420737619,0.0066230613651931895,5,8000,HF
8,-5.193039940392831,0.016350095413087528,-5.195252684872387,0.016691807980604458,-5.5303139558290715,0.0040638266589534695,5,8000,HF
9,-5.2137637164295745,0.014691110557526494,-5.2128311920900705,0.01423806885666977,-5.536276174036943,0.004800492049058049,5,8000,HF
10,-5.24800355758358,0.014795731233387918,-5.227806896342844,0.013230962679802314,-5.549894347398168,0.0033333757574887353,5,8000,HF
1,-3.999446860958619,0.011283548378657322,-4.000205820135343,0.009037798127654904,-4.492094091621688,0.04487010205269816,5,16000,HF
2,-4.732947264490738,0.022219233186703012,-4.755303686489648,0.013555098268448673,-5.025861249788793,0.01067566052861569,5,16000,HF
3,-4.76727422252433,0.023814704312086033,-4.923741638115486,0.02356782425337271,-5.1587880266615995,0.01806352231485338,5,16000,HF
4,-4.983533348673304,0.015672465233268117,-5.01276287775857,0.02176999210508447,-5.307398854015885,0.02437179107661962,5,16000,HF
5,-5.1143509642957214,0.01751922714600882,-5.110408750477376,0.013533337617925491,-5.403902264059426,0.010293061405004357,5,16000,HF
6,-5.205379077056196,0.016478192531528376,-5.152460446694092,0.012244882490335788,-5.443569641558309,0.007175291421146032,5,16000,HF
7,-5.220034277693457,0.01187792413895664,-5.208171395328642,0.011605968315190635,-5.4813347315213425,0.005888980402027991,5,16000,HF
8,-5.230928222900169,0.010724912557188888,-5.217728760558681,0.010325731438188062,-5.495009475176756,0.005310700484377141,5,16000,HF
9,-5.250596649398789,0.010801516170725002,-5.231887378135763,0.009484419203618118,-5.501991536142364,0.005984286154690077,5,16000,HF
10,-5.277089360723179,0.010341371756900909,-5.2362459849618945,0.009016680604810964,-5.510770890216817,0.005114362925123847,5,16000,HF
